109.2,84.7,24.5,64.1,1.25,17.0,46.2,71.4,59.3,20.4,47.7,52.9,98.0,63.,84.7,109.2,-24.5,75.0,1.59,19.3,28.6,53.8,40.7,17.3,43.3,43.8,98.0,36.,1
120.9,107.7,13.2,62.8,1.8,20.9,33.3,62.7,51.2,16.5,64.1,64.6,91.0,60.,107.7,120.9,-13.2,45.5,1.5,12.1,37.3,66.7,48.8,11.0,41.3,50.0,91.0,40.,1
119.4,116.1,3.2,35.7,1.36,11.8,38.8,57.1,48.0,11.8,50.6,55.6,93.0,53.,116.1,119.4,-3.2,48.7,1.27,14.5,42.9,61.2,52.0,16.1,51.2,55.2,93.0,47.,1
93.6,103.2,-9.6,68.4,1.53,19.5,29.8,75.6,51.1,18.1,48.8,49.4,94.0,45.,103.2,93.6,9.6,73.7,1.56,21.4,24.4,70.2,48.9,19.1,53.8,56.7,94.0,54.,0
97.8,112.4,-14.6,46.9,1.07,12.7,29.5,70.0,51.1,15.6,46.6,51.5,89.5,39.,112.4,97.8,14.6,70.3,3.71,20.0,30.0,70.5,48.9,7.9,47.0,51.4,89.5,60.,0
106.4,105.5,0.9,64.9,1.04,16.4,28.9,79.5,52.4,21.1,51.3,59.8,98.72,48.,105.5,106.4,-0.9,77.3,1.48,22.7,20.5,71.1,47.6,21.1,57.5,62.0,98.72,51.,1
98.9,122.5,-23.6,37.1,0.76,11.0,40.0,71.8,54.8,19.5,46.2,49.5,88.0,29.,122.5,98.9,23.6,78.6,4.13,24.8,28.2,60.0,45.2,9.0,56.2,61.3,88.0,70.,0
127.7,97.0,30.7,67.4,1.94,21.8,27.0,67.8,52.1,15.8,65.8,69.6,100.5,71.,97.0,127.7,-30.7,45.2,0.78,10.5,32.2,73.0,47.9,18.0,40.5,48.2,100.5,28.,1
88.4,104.7,-16.3,59.3,0.94,13.8,31.3,72.1,50.5,19.8,39.6,45.8,86.0,40.,104.7,88.4,16.3,55.3,1.62,17.6,27.9,68.8,49.5,15.1,51.9,53.6,86.0,59.,0
125.3,108.2,17.0,51.2,1.16,15.5,48.9,70.2,60.8,19.2,59.5,63.8,98.0,60.,108.2,125.3,-17.0,57.9,1.83,16.2,29.8,51.1,39.2,12.4,45.1,50.1,98.0,39.,1
111.9,101.2,10.7,69.4,1.79,21.4,28.1,60.7,48.9,16.7,56.0,60.9,84.0,63.,101.2,111.9,-10.7,58.3,2.63,16.7,39.3,71.9,51.1,9.5,41.7,44.0,84.0,36.,1
96.5,98.8,-2.3,65.6,1.24,17.8,29.5,65.9,47.7,19.8,46.0,50.9,86.0,47.,98.8,96.5,2.3,67.7,1.24,17.4,34.1,70.5,52.3,19.8,46.5,51.8,86.0,52.,0
126.7,85.1,41.6,58.7,2.08,18.2,40.0,68.4,55.1,12.9,58.2,60.3,101.0,80.,85.1,126.7,-41.6,39.3,0.55,8.5,31.6,60.0,44.9,19.8,36.9,44.6,101.0,19.,1
106.3,78.9,27.4,55.3,2.1,16.8,20.5,73.4,51.9,10.5,49.4,54.9,95.0,70.,78.9,106.3,-27.4,67.9,1.46,14.6,26.6,79.5,48.1,13.7,35.4,38.9,95.0,29.,1
106.1,103.0,3.0,64.9,1.5,17.9,29.5,61.8,47.5,16.2,49.4,56.4,89.66,59.,103.0,106.1,-3.0,47.2,0.89,12.6,38.2,70.5,52.5,19.2,44.8,51.2,89.66,40.,1
105.3,115.1,-9.7,56.4,1.83,16.4,38.2,72.9,54.4,12.8,46.2,49.0,93.5,42.,115.1,105.3,9.7,55.6,2.5,15.9,27.1,61.8,45.6,8.6,48.7,54.9,93.5,57.,0
111.0,112.1,-1.1,61.0,2.08,18.9,34.0,62.2,47.4,13.2,51.7,53.6,91.0,47.,112.1,111.0,1.1,56.4,1.57,17.1,37.8,66.0,52.6,15.4,50.6,55.2,91.0,53.,0
